"","Make","Fuel","EngineCylinders","AverageHighwayMPG","AverageCityMPG","id","avgMPG"
"1","Acura","Gasoline",4,35,25,1,30
"2","Acura","Gasoline",6,28,21,2,24.5
"3","Alfa Romeo","Gasoline",4,33,24,3,28.5
"4","Alfa Romeo","Gasoline",6,24,17,4,20.5
"5","Aston Martin","Gasoline",12,19,12,5,15.5
"6","Audi","Gasoline",4,30,23,6,26.5
"7","Audi","Gasoline",6,27,19,7,23
"8","Audi","Gasoline",8,26,17,8,21.5
"9","Audi","Gasoline",10,22,14,9,18
"10","Audi","Gasoline",4,32,24,10,28
"11","Bentley","Gasoline",8,22,13,11,17.5
"12","Bentley","Gasoline",12,20,12,12,16
"13","BMW","Diesel",4,41,30,13,35.5
"14","BMW","Diesel",6,29,23,14,26
"15","BMW","Electricity",0,109,133,15,121
"16","BMW","Gasoline",2,33,36,16,34.5
"17","BMW","Gasoline",3,29,28,17,28.5
"18","BMW","Gasoline",4,32,23,18,27.5
"19","BMW","Gasoline",6,28,19,19,23.5
"20","BMW","Gasoline",8,23,15,20,19
"21","BMW","Gasoline",12,20,13,21,16.5
"22","Buick","Gasoline",4,27,20,22,23.5
"23","Buick","Gasoline",4,31,23,23,27
"24","Buick","Gasoline",6,26,18,24,22
"25","Cadillac","Gasoline",4,30,22,25,26
"26","Cadillac","Gasoline",6,25,17,26,21
"27","Cadillac","Gasoline",8,21,14,27,17.5
"28","Cadillac","Gasoline",4,32,22,28,27
"29","Cadillac","Gasoline",6,26,18,29,22
"30","Cadillac","Gasoline",8,21,15,30,18
"31","Chevrolet","Diesel",4,29,21,31,25
"32","Chevrolet","Electricity",0,110,128,32,119
"33","Chevrolet","Gasoline",4,31,21,33,26
"34","Chevrolet","Gasoline",8,23,15,34,19
"35","Chevrolet","Gasoline",4,34,27,35,30.5
"36","Chevrolet","Gasoline",6,24,17,36,20.5
"37","Chevrolet","Gasoline",8,21,15,37,18
"38","Chrysler","Gasoline",8,25,16,38,20.5
"39","Chrysler","Gasoline",4,36,23,39,29.5
"40","Chrysler","Gasoline",6,29,20,40,24.5
"41","Dodge","Gasoline",8,24,15,41,19.5
"42","Dodge","Gasoline",8,23,14,42,18.5
"43","Dodge","Gasoline",10,19,12,43,15.5
"44","Dodge","Gasoline",4,25,19,44,22
"45","Dodge","Gasoline",6,27,18,45,22.5
"46","Ferrari","Gasoline",8,22,16,46,19
"47","Ferrari","Gasoline",12,16,12,47,14
"48","Fiat","Electricity",0,103,121,48,112
"49","Fiat","Gasoline",4,34,26,49,30
"50","Fiat","Gasoline",4,30,22,50,26
"51","Ford","Electricity",0,96,118,51,107
"52","Ford","Gasoline",4,25,19,52,22
"53","Ford","Gasoline",6,18,11,53,14.5
"54","Ford","Gasoline",8,21,14,54,17.5
"55","Ford","Gasoline",3,40,29,55,34.5
"56","Ford","Gasoline",4,31,24,56,27.5
"57","Ford","Gasoline",6,23,17,57,20
"58","Ford","Gasoline",8,22,15,58,18.5
"59","Genesis","Gasoline",6,24,17,59,20.5
