"","Make","mean_by_make","Origin"
"1","Acura",27.25,"Asia"
"2","Alfa Romeo",24.5,"Europe"
"3","Aston Martin",15.5,"Europe"
"4","Audi",23.4,"Europe"
"5","Bentley",16.75,"Europe"
"6","BMW",36.8888888888889,"Europe"
"7","Buick",24.1666666666667,"America"
"8","Cadillac",21.9166666666667,"America"
"9","Chevrolet",36.8571428571429,"America"
"10","Chrysler",24.8333333333333,"America"
"11","Dodge",19.6,"America"
"12","Ferrari",16.5,"Europe"
"13","Fiat",56,"Europe"
"14","Ford",32.6875,"America"
"15","Genesis",20.5,"Asia"
"16","GMC",21.625,"America"
"17","Honda",30.1666666666667,"Asia"
"18","Hyundai",62.6666666666667,"Asia"
"19","Infiniti",23.5,"Asia"
"20","Jaguar",25.25,"Europe"
"21","Jeep",21.3333333333333,"America"
"22","Kia",44.125,"Asia"
"23","Lamborghini",15.5,"Europe"
"24","Land Rover",21.25,"America"
"25","Lexus",26.2,"Asia"
"26","Lincoln",23,"America"
"27","Lotus",20.5,"Europe"
"28","Maserati",18.5,"Europe"
"29","Mazda",30.5,"Asia"
"30","McLaren Automotive",19.5,"Europe"
"31","Mercedes-Benz",33.5,"Europe"
"32","MINI",28.5,"Europe"
"33","Mitsubishi",50.25,"Asia"
"34","Nissan",38.5,"Asia"
"35","Porsche",21.3333333333333,"Europe"
"36","Ram",20.8333333333333,"America"
"37","Rolls-Royce",15.5,"Europe"
"38","Roush Performance",18.5,"America"
"39","smart",35.5,"Europe"
"40","Subaru",25.6666666666667,"Asia"
"41","Tesla",95,"America"
"42","Toyota",24.5,"Asia"
"43","Volkswagen",24.8333333333333,"Europe"
"44","Volvo",26.5,"Europe"
